layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
Hex Head Cap Screw1_,Hex Head Cap Screw,1,"316 SST, 3/8 - 16 UNC x 4-1/4″ L.",,,,,5
O-Ring2_,O-Ring,2,M83248/1-215 (VITON),,,M83248/1-019,9Z5330-00-166-8404,1
O-Ring3_,O-Ring,3,M83248/1-218 (VITON),,,M83248/2-912,9Z5330-00-166-8405,2
Check valbe cartrige,Check Valve Cartridge,4,Check Valve Cartridge,,,409-16D2-6,9C4820-01-009-0340,2
Replenishing Check Valve Block,Replenishing Check Valve Block,5,Replenishing Check Valve Block,,, M17-43440-D,9C4820-01-158-8178,1
Pipe Plug,Pipe Plug,6,Pipe Plug,,,,,1
O-Ring7_,O-Ring,7,M83248/1-211 (VITON),,, M83248/1-242,,2
Back-up ring,Back-up Ring,8,MS28774-211,,, M83248/2-904,,2
