layer_id*,part_name*,part_id*,part_description,purchase_url,quantity,nomenclature,mfr_code,nsn_number
56_Hose,"HOSE, SAE100R4, 7.23 INCHES",56,"HOSE, SAE100R4, 7.23 INCHES",,1,,"01TH8 
3E6R6",
57_DiaTube,"I-1/4 DIA TUBE, 90 DEG",57,"I-1/4 DIA TUBE, 90 DEG",,1,,53711,
57_DiaTube,"I-1/4 DIA HOSE ASSY, OUTLET",57,"I-1/4 DIA HOSE ASSY, OUTLET",,1,,53711,
57_NutTube,"NUT, TUBE",57,"NUT, TUBE",,2,,99565,
57_TailPiece,"TAILPIECE, I-1/4 DIA HOSE ADAPTER",57,"TAILPIECE, I-1/4 DIA HOSE ADAPTER",,2,,53711,
57_ClampHose,"CLAMP, HOSE AWAB 38-50 mm RANGE",57,"CLAMP, HOSE AWAB 38-50 mm RANGE",,4,,4CR25,
57_Hose,"HOSE, SAE100R4, 7.23 INCHES",57,"HOSE, SAE100R4, 7.23 INCHES",,1,,"01TH8
3E6R6",
HOSE ASSY_1A,"HOSE ASSY, FLEXIBLE METAL",1A,"HOSE ASSY, FLEXIBLE METAL",,1,,9F512,
HOSE ASSY_1B,"HOSE ASSY, FLEXIBLE MET (INDEX NO. 1A AND 1B IS INSTALLED ON NST-D AFTER SER NO. 179 AND SHALL BE INSTL ON SER NO. 101 THRU 179 DURING OVHL)",1B,"HOSE ASSY, FLEXIBLE MET (INDEX NO. 1A AND 1B IS INSTALLED ON NST-D AFTER SER NO. 179 AND SHALL BE INSTL ON SER NO. 101 THRU 179 DURING OVHL)",,1,,9F512,
ELBOW_2,"ELBOW, UNION, TUBE TO TUBE",2,"ELBOW, UNION, TUBE TO TUBE",,2,,99565,
O-RING_3,"O-RING, MIL-R-83248",3a,"O-RING, MIL-R-83248",,6,,81349,
ELBOW_4,"ELBOW, MALE, TUBE TO STRAIGHT THREAD",4a,"ELBOW, MALE, TUBE TO STRAIGHT THREAD",,2,,99565,
SCREW_6,"SCREW, HEX HD CAP 316SST 3/8-16 UNC X 3/4 IN. L",6,"SCREW, HEX HD CAP 316SST 3/8-16 UNC X 3/4 IN. L",,42,,9F512,
WASHER_7,"WASHER, FLAT 316SST",7,"WASHER, FLAT 316SST",,20,,9F512,
"SHIELD, HE LH_8","SHIELD, HE LH",8,"SHIELD, HE LH",,1,,9F512,
"SHIELD, HE LH_9","SHIELD, HE RH",9,"SHIELD, HE RH",,1,,9F512,
"GRILL, HEAT EXCHANGER_10","GRILL, HEAT EXCHANGER",10,"GRILL, HEAT EXCHANGER",,1,,9F512,
"GRILL, UPPER, HE_11","GRILL, UPPER, HE",11,"GRILL, UPPER, HE",,1,,9F512,
"GRILL, LOWER, HE_12","GRILL, LOWER, HE",12,"GRILL, LOWER, HE",,1,,9F512,
SCREW_13,"SCREW, HEX HD CAP GR 8 3/8-16 UNC X 1 1/4 IN. L",13,"SCREW, HEX HD CAP GR 8 3/8-16 UNC X 1 1/4 IN. L",,4,,9F512,
"WASHER, FLAT_15","WASHER, FLAT 1/2 316SST",15a,"WASHER, FLAT 1/2 316SST",,8,,9F512,
"BRACKET, MOUNTING_16","BRACKET, MOUNTING",16,"BRACKET, MOUNTING",,1,,9F512,
"BRACKET, MOUNTING_17","BRACKET, MOUNTING (USED ON XMSN AFTER SER NO. 179)",17,"BRACKET, MOUNTING (USED ON XMSN AFTER SER NO. 179)",,1,,9F512,
MOUNT HE I_18,MOUNT HE I,18,MOUNT HE I,,1,,9F512,
SCREW_19,"SCREW, HEX HD CAP 316SST 3/8-16 UNC X 3/4 IN. L",19,"SCREW, HEX HD CAP 316SST 3/8-16 UNC X 3/4 IN. L",,10,,9F512,
HEAT EXCHANGER_20,"HEAT EXCHANGER SERIAL NO. 1 THRU 21 ORIGINALLY USED PART 001040, LATER SER NO. AND ALL REPLACEMENTS ARE PN 60824",20,"HEAT EXCHANGER SERIAL NO. 1 THRU 21 ORIGINALLY USED PART 001040, LATER SER NO. AND ALL REPLACEMENTS ARE PN 60824",,1,,50184,
