layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
72_O-Ring,O-Ring,72,M83248/1-232 (VITON),,, 232-19359, 9Z5330-00-165-1950,2
73_Small Cylinder Cap,Small Cylinder Cap,73,Small Cylinder Cap,,,,,1
74_Roll Pin,Roll Pin,74,1/8″ Dia. x 3/8 L.,,,,,2
75_Spring Holddown Screw,Spring Holddown Screw,75,Spring Holddown Screw,,,035-42857,,2
76_Spring Retainer,Spring Retainer,76,Spring Retainer,,,035-42856,,2
77_Washer,Washer,77,Washer,,,,,2
78_Spring,Spring,78,Spring,,,M-46,,2
79_Upper Control Piston,Upper Control Piston,79,Upper Control Piston,,,035-43112,,1
80_Upper Control Bushing,Upper Control Bushing,80,Upper Control Bushing,,, 035-43113,,1
81_Lower Control Piston,Lower Control Piston,81,Lower Control Piston,,,037-70754,,1
82_Lower Control Bushing,Lower Control Bushing,82,Lower Control Bushing,,,037-70753,,1
83_Dog Point Set Screw,Dog Point Set Screw,83,Dog Point Set Screw,,, 037-70769,,1
84_Check Valve,Check Valve,84,(Kepner),,, 2203C-1,,1
85_O-Ring,O-Ring,85,M83248/1-012 (VITON),,,012-19359,9Z5330-00-166-0980,4
86_Dowel Pin,Dowel Pin,86,1/4″ Dia. x 1/2″ L.,,,,,1
87_Sleeve,Sleeve,87,Sleeve,,, 037-70770,,1
88_Ball,Ball,88,5/16″ Dia.,,,201-10001,,1
89_Seat,Seat,89,Seat,,,037-70771,,1
90_Oriﬁce Plug,Oriﬁce Plug,90,0.062,,, 035-12594,,1
91_Acorn Nut,Acorn Nut,91,5/16-24 UNF,,,327-13005,,1
92_Thread Seal,Thread Seal,92,5/16”,,,635-00001,,2
93_Jam Hex Nut,Jam Hex Nut,93,"5/16”, S.ST.",,,335-50001,,1
94_Pressure Center Adjusting Screw,Pressure Center Adjusting Screw,94,Pressure Center Adjusting Screw,,, 037-72392,,1
95_Pressure Centering Plug,Pressure Centering Plug,95,Pressure Centering Plug,,,037-70772,,1
96_O-Ring,O-Ring,96,M83248/2-908 (VITON),,,980-19359,,1
97_Pressure Centering Plug,Pressure Centering Plug,97,Pressure Centering Plug,,,,,1
98_Spring,Spring,98,Spring,,,225-92037,,1
99_Pressure Center Sleeve,Pressure Center Sleeve,99,Pressure Center Sleeve,,,S17-46107,,1
100_Pipe Plug,Pipe Plug,100,1/8-NPTF,,,,,2
101_Pipe Plug,Pipe Plug,101,1/16 NPTF,,,,,4
137_Dowel Pin,Dowel Pin,137,"1/4″ Dia. x 1/2″ L., S.S.",,,9F512,,1
138_Hanger Stop,Hanger Stop,138,Drill Rod,,,035-44242,,2
139_Large Cylinder Stop,Large Cylinder Stop,139,Large Cylinder Stop,,, 037-53897,,1
140_Large Cylinder Shim,Large Cylinder Shim,140,Large Cylinder Shim,,,230-82176,,1
141_ Small Cylinder Stop, Small Cylinder Stop,141, Small Cylinder Stop,,,035-53778,,1
142_Small Cylinder Shim,Small Cylinder Shim,142,Small Cylinder Shim,,,230-82127,,1
